,"Razão Social","Nome do Laboratório","Situação","Endereço","Bairro","CEP","Cidade","UF","Telefone","Fax","Grupo de Serviço de Calibração","Gerente tecnico","Email"
10,"BALITEK INSTRUMENTOS E SERVIÇOS LTDA.","BALITEK INSTRUMENTOS E SERVIÇOS LTDA.","
										Ativo                                    ","
										RUA PRÍNCIPE  HUMBERTO, 349/355                                    ","
										VILA DUZZI                                    ","
										09725200                                    ","
										S.BERNARDO DO CAMPO                                    ","
										SP                                    ","
										(11) 4121-2035                                    ","
										(11) 4121-2035                                    ","ELETRICIDADE E MAGNETISMO","
										PAULO RODRIGO MIYAZAKI
                                    ","tecnico@balitek.com.br"
11,"IFM - INSTITUTO FLUMINENSE DE METROLOGIA LTDA","IFM - INSTITUTO FLUMINENSE DE METROLOGIA LTDA","
										Suspensão Total  desde 11/06/2019                                    ","
										Estrada Philúvio Cerqueira Rodrigues, nº 1916                                    ","
										ITAIPAVA                                    ","
										25745071                                    ","
										PETROPOLIS                                    ","
										RJ                                    ","
										(24)2222-0918                                    ","
","ELETRICIDADE E MAGNETISMO","
										FRANCSICO CARLOS SEVERINO
                                    ","fseverino@ifm.com.br "
12,"Instituto de Tecnologia para o Desenvolvimento - LACTEC","Institutos LACTEC","
										Ativo                                    ","
										BR 116, KM 98 - nº 8.813                                    ","
										Jardim das Américas                                    ","
										81531980                                    ","
										Curitiba                                    ","
										PR                                    ","
										(41) 3361-6325/6921                                    ","
										(41) 3361-6347                                    ","ELETRICIDADE E MAGNETISMO","
										MAURÍCIO LOURENÇO ROSA
                                    ","mauricio.rosa@lactec.org.br"
13,"Sergio Luiz Lenzi","K&L Laboratório de Metrologia Lenzi Ltda.","
										Ativo                                    ","
										Rua Sorocaba, 254                                    ","
										Floresta                                    ","
										89212210                                    ","
										Joinville                                    ","
										SC                                    ","
										(47) 3426-1712                                    ","
										(47) 3426-1712                                    ","ELETRICIDADE E MAGNETISMO","
										Mauro Godinho
                                    ","gerencia.tecnica@kellab.com.br."
14,"MEC-Q Comércio e Serviços de Metrologia Industrial Ltda.","Laboratório de Metrologia - MEC-Q/BA","
										Ativo                                    ","
										Avenida Jorge Amado S/N CP 78                                    ","
										Parque das Palmeiras                                    ","
										42800970                                    ","
										Camaçari                                    ","
										BA                                    ","
										(71) 3627-6141 / (11)3463-8205                                    ","
										(71) 3632-8702                                    ","ELETRICIDADE E MAGNETISMO","
										DOUGLAS D. S. CAMARGO
                                    ","douglas@mecq.com.br"
15,"Instituto de Tecnologia do Paraná - TECPAR","Centro de Medições e Validação - CMV","
										Ativo                                    ","
										Rua Professor Algacyr Munhoz Maeder, 3.775                                    ","
										CIC                                    ","
										81350010                                    ","
										Curitiba                                    ","
										PR                                    ","
										(41) 3316-3076/3077                                    ","
										(41) 3316-3076                                    ","ELETRICIDADE E MAGNETISMO","
										JOÃO LUIZ AMAZONAS PIMPÃO
                                    ","joaoluiz@tecpar.br"
16,"Centro Tecnológico de Metrologia Comércio de Instrumentos e Serviços Ltda. - CTM","Laboratório de Metrologia","
										Ativo                                    ","
										Rua Luiz José Junqueira Freire, 375                                    ","
										Freguesia do Ó                                    ","
										02864000                                    ","
										São Paulo                                    ","
										SP                                    ","
										(11) 3851-9001                                    ","
										(11) 3851-4709                                    ","ELETRICIDADE E MAGNETISMO","
										André Teruya Muchon
                                    ","calibracao@calibracao.com.br"
17,"Usinas Siderúrgicas de Minas Gerais S/A - USIMINAS","Laboratório de Calibração da Instrumentação","
										Suspensão Total  desde 15/08/2017                                    ","
										Avenida Pedro Linhares Gomes, 5.431                                    ","
										Usiminas                                    ","
										35160900                                    ","
										Ipatinga                                    ","
										MG                                    ","
										(31) 3829-2482/4528                                    ","
										(31) 3829-3148                                    ","ELETRICIDADE E MAGNETISMO","
										Pedro Paulo Hespanhol
                                    ","pedro.hespanhol@usiminas.com"
18,"SIGTRON INSTRUMENTOS E SERVIÇOS LTDA.","LABORATÓRIO DE METROLOGIA","
										Ativo                                    ","
										AV. SANTA CATARINA, 640                                    ","
										VILA Alexandria                                    ","
										04635001                                    ","
										SÃO PAULO                                    ","
										SP                                    ","
										(11) 5031-7359 / 6379                                    ","
										(11) 5031-8867                                    ","ELETRICIDADE E MAGNETISMO","
										EDUARDO STRAFACCI
                                    ","eduardo@sigtron.com.br"
19,"Calibratec - Comércio e Assistência Técnica de Instrumentos de Medição Ltda.","Laboratório de Metrologia","
										Ativo                                    ","
										Rua Tenente Pena, 73                                    ","
										Bom Retiro                                    ","
										01127020                                    ","
										São Paulo                                    ","
										SP                                    ","
										(11) 3133-0700                                    ","
										(11) 3338-2595                                    ","ELETRICIDADE E MAGNETISMO","
										Robson Resende
                                    ","tecnico@calibratec.com.br"
20,"BALINORTI CALIBRAÇÃO LTDA.","LABORATÓRIO DE METROLOGIA","
										Suspensão Total  desde 04/05/2018                                    ","
										Rua General Castrioto, 520                                    ","
										Barreto                                    ","
										24110256                                    ","
										Niteroi                                    ","
										RJ                                    ","
										((21) 3741-3095 / 3741-3097                                    ","
","ELETRICIDADE E MAGNETISMO","
										LUIZ CARLOS DA CUNHA
                                    ","diretoria@balinorti.com.br"
21,"FUNDAÇÃO CPQD - CENTRO DE PESQUISA E DESENVOLVIMENTO EM TELECOMUNICAÇÕES","LABORATÓRIO DE CALIBRAÇÃO","
										Ativo                                    ","
										Rua Dr. Ricardo Benetton Martins, 1.000 Parque II                                    ","
										Polo Alta Tecnologia                                    ","
										13086902                                    ","
										F Pau D´alho Campina                                    ","
										SP                                    ","
										19-37054190/7132/6010( COMERC)                                    ","
										(19) 3705-6120                                    ","ELETRICIDADE E MAGNETISMO","
										ELISABETE APARECIDA GENEROSO ZAGO
                                    ","betecida@cpqd.com.br"
22,"PRESERTEC SERVIÇOS DE CALIBRAÇÃO LTDA.","LABORATÓRIO PRESERTEC","
										Ativo                                    ","
										AV. GASTÃO VIDIGAL NETO, 220                                    ","
										CIDADE NOVA                                    ","
										12414020                                    ","
										PINDAMONHANGABA                                    ","
										SP                                    ","
										(12) 3642-8205                                    ","
										(12) 3642-8205                                    ","ELETRICIDADE E MAGNETISMO","
										Dilton Siqueira Junior 
                                    ","diltonjr@presertec.com.br"
23,"RCQ RJ Calibração e Vendas de Equipamentos Ltda","RCQ RJ Calibração e Vendas de Equipamentos Ltda","
										Ativo                                    ","
										RUA TORIBA, 474                                    ","
										COLÉGIO                                    ","
										21545260                                    ","
										RIO DE JANEIRO                                    ","
										RJ                                    ","
										(21) 3014-3072                                    ","
										(21) 3014-3072                                    ","ELETRICIDADE E MAGNETISMO","
										Marcos de Souza Lopes
                                    ","comercial@rcq.com.br"
24,"Eletrosul Centrais Elétricas S.A.","LAMEE - Laboratório de Metrologia Elétrica da Eletrosul","
										Ativo                                    ","
										Rodovia SC 407, Km 04                                    ","
										Sertão do Maruím                                    ","
										88122001                                    ","
										SÃO JOSÉ                                    ","
										SC                                    ","
										(48) 3231-3656/3657                                    ","
										(48) 3257-0667                                    ","ELETRICIDADE E MAGNETISMO","
										Miki Takao
                                    ","lamee@eletrosul.gov.br, mtakao@eletrosul.gov.br "
25,"MEC-Q Comércio e Serviços de Metrologia Industrial Ltda.","Laboratório MEC-Q - Unidade SP","
										Ativo                                    ","
										Rua Francisco Bonilha, 19                                    ","
										Vila Príncipe de Gal                                    ","
										09060550                                    ","
										Santo André                                    ","
										SP                                    ","
										(11) 3463-8211                                    ","
										(11) 3463-8224                                    ","ELETRICIDADE E MAGNETISMO","
										Douglas Dagoberto Soares de Camargo
                                    ","douglas@mecq.com.br"
26,"Metrologia 9000 Ltda.","Laboratório de Metrologia","
										Ativo                                    ","
										Rua Turquesa, 80                                    ","
										Jardim São José                                    ","
										12216350                                    ","
										São José dos Campos                                    ","
										SP                                    ","
										(12) 3941-7732                                    ","
										(12) 3941-7732                                    ","ELETRICIDADE E MAGNETISMO","
										CARLOS HENRIQUE E. BRANCO DA CUNHA
                                    ","mtr9000@metrologia9000.com.br, mtr9000@uol.com.br"
27,"Aferitec Comprovações Metrológicas e Comércio Ltda.","Aferitec Comprovações Metrológicas e Comércio Ltda.","
										Ativo                                    ","
										Rua Cesar Ladeira, 183                                    ","
										Chácara Floresta                                    ","
										13424385                                    ","
										Piracicaba                                    ","
										SP                                    ","
										(19) 3422-0215 / 2533-5516                                    ","
										(19) 3432 -2840                                    ","ELETRICIDADE E MAGNETISMO","
										Wanderson Henrique Stoco
                                    ","aferitec@aferitec.com.br"
28,"SETTING COMÉRCIO, INDUSTRIALIZAÇÃO E SERVIÇOS DE CALIBRAÇÕES E ENSAIOS LTDA - EPP","SETTING CALIBRAÇÃO E ENSAIOS","
										Ativo                                    ","
										Rua Rei Alberto da Bélgica, 187                                    ","
										Vila Guarani                                    ","
										03381000                                    ","
										São Paulo                                    ","
										SP                                    ","
										(11) 3572-0450 / 2916-0493                                    ","
										(11) 3572-0452                                    ","ELETRICIDADE E MAGNETISMO","
										Tatiana Macedo Ramos Pina
                                    ","pep@setting.net.br"
29,"Microprecs - Euros Comércio de Instrumento de Precisão Ltda. - ME","Laboratório de Calibração","
										Suspensão Total  desde 26/03/2019                                    ","
										Rua Dutra Rodrigues, 149                                    ","
										Bairro da Luz                                    ","
										01105010                                    ","
										São Paulo                                    ","
										SP                                    ","
										11 2478-4890                                    ","
										(11) 3328-1100                                    ","ELETRICIDADE E MAGNETISMO","
										Eurípedes Eliodoro de Oliveira
                                    ","euripedes@microprecs.com.br"
30,"GERO COMÉRCIO E SERVIÇOS LTDA","GERO COMÉRCIO E SERVIÇOS LTDA","
										Ativo                                    ","
										AV. ANTÔNIO BETTINI, 333                                    ","
										PARQUE EMPRESARIAL                                    ","
										18520000                                    ","
										CERQUILHO                                    ","
										SP                                    ","
										(15) 3384-3000                                    ","
										(O15) 3384-3000                                    ","ELETRICIDADE E MAGNETISMO","
										Douglas Mayoral
                                    ","douglas@gero.com.br"
31,"LMC Medição e Controle Eireli","Laboratório Medição Contagem","
										Ativo                                    ","
										Rua Dona Maria Conceição, 261                                    ","
										JARDIM INDUSTRIAL                                    ","
										32215130                                    ","
										CONTAGEM                                    ","
										MG                                    ","
										(31) 3046-7950                                    ","
										(31) 3046-7950                                    ","ELETRICIDADE E MAGNETISMO","
										Cristiano Delfim
                                    ","gt@medicao.contagem.br"
32,"PRESYS INSTRUMENTOS E SISTEMAS LTDA.","LABORATÓRIO PRYMELAB","
										Ativo                                    ","
										AV. RAMALHO ORTIGÃO, 315                                    ","
										VILA GUMERCINDO                                    ","
										04130010                                    ","
										SÃO PAULO                                    ","
										SP                                    ","
										(11) 5073 1900                                    ","
										(11) 5073 3366                                    ","ELETRICIDADE E MAGNETISMO","
										Vinícius José Gomes Nunes
                                    ","vinicius@presys.com.br"
33,"NUTEC - Fundação Núcleo de Tecnologia Industrial do Ceará","Laboratório de Medidas Elétricas","
										Ativo                                    ","
										Rua Professor Rômulo  Proença, S/Nº                                    ","
										Campus do PICI                                    ","
										60451970                                    ","
										Fortaleza                                    ","
										CE                                    ","
										(85) 3101-2446/2447                                    ","
										(85) 3101-2436                                    ","ELETRICIDADE E MAGNETISMO","
										LEO FONTOURA VIDAL
                                    ","cac@nutec.ce.gov.br "
34,"CEIME - Comércio e Metrologia Ltda.","CEIME SÃO PAULO","
										Ativo                                    ","
										Rua Curupá n°150                                    ","
										Vila Formosa                                    ","
										03355010                                    ","
										São Paulo                                    ","
										SP                                    ","
										(11) 4433-8122 R.234                                    ","
										(11) 4433-8122-R 214                                    ","ELETRICIDADE E MAGNETISMO","
										FERNANDO RACHID
                                    ","fernando.rachid@ceime.com.br"
35,"EXCEL SERVIÇOS EM METROLOGIA LTDA.","LABORATÓRIO EXCELMETRO","
										Ativo                                    ","
										AV. CELINA FERREIRA OTTONI, 5205                                    ","
										PADRE VICTOR                                    ","
										37048395                                    ","
										VARGINHA                                    ","
										MG                                    ","
										(35) 2106 2700                                    ","
										(35) 2106 2724                                    ","ELETRICIDADE E MAGNETISMO","
										Saulo de Tarso Mota
                                    ","comercial@excelmetro.com.br"
36,"VWC Equipamentos de Instrumentação e Comércio Ltda.","VWC Equipamentos de Instrumentação e Comércio Ltda.","
										Ativo                                    ","
										Avenida Príncipe de Gales, 575                                    ","
										Vila Príncipe de Gal                                    ","
										09060650                                    ","
										Santo André                                    ","
										SP                                    ","
										11 4432-1000                                    ","
										11 4432-1000                                    ","ELETRICIDADE E MAGNETISMO","
										Igor Rodrigues Assumpção
                                    ","laboratoriosp@vwc.com.br"
37,"Socintec Instrumentos de Medição Ltda.","Laboratório Socintec","
										Ativo                                    ","
										Rua General Lecor, 991                                    ","
										Ipiranga                                    ","
										04213021                                    ","
										São Paulo                                    ","
										SP                                    ","
										(11) 2914-4448                                    ","
										(11) 2274-2424                                    ","ELETRICIDADE E MAGNETISMO","
										Nildo Augusto Gonçalves de Souza
                                    ","socintec@socintec.com.br"
38,"SERVIÇO NACIONAL DE APRENDIZAGEM INDUSTRIAL - SENAI/DR-BA","LABORATÓRIO DE METROLOGIA - SENAI-CIMATEC - LME","
										Ativo                                    ","
										AV. ORLANDO GOMES, 1845 - ED. RÔMULO ALMEIDA                                    ","
										PIATÃ                                    ","
										41650010                                    ","
										SALVADOR                                    ","
										BA                                    ","
										71) 3462-9565                                    ","
										(71) 3462-9594                                    ","ELETRICIDADE E MAGNETISMO","
										Paulo Homero Queiroz de Figueiredo
                                    ","paulo.figueiredo@fieb.org.br"
39,"CEMIG Distribuição S.A.","Laboratório de Eletrônica de Medição - LEM","
										Ativo                                    ","
										Rua Osório de Morais, 281 - Q 14 - P 03                                    ","
										Cidade Industrial                                    ","
										32210140                                    ","
										Contagem                                    ","
										MG                                    ","
										(31) 3878-5353                                    ","
										(31) 3878-5461                                    ","ELETRICIDADE E MAGNETISMO","
										Helbert Batista de Macedo
                                    ","helbertm@cemig.com.br"
40,"Qualy-Med Comércio e Serviços de Instrumentos de Precisão, Calibração Eirele","Qualy-Med Comércio e Serviços de Instrumentos de Precisão, Calibração Eirele","
										Ativo                                    ","
										RUA ALEMANHA, 1556                                    ","
										CAMILÓPOLIS                                    ","
										09240001                                    ","
										SANTO ANDRÉ                                    ","
										SP                                    ","
										(11) 4461-1448                                    ","
										(11) 4461-1448                                    ","ELETRICIDADE E MAGNETISMO","
										Anderson Sianga
                                    ","anderson@qualymed.com.br"
41,"Minipa Metrologia e Serviços Eireli EPP","Minipa Metrologia","
										Ativo                                    ","
										AVENIDA CARLOS LIVIERO, 59                                    ","
										VILA LIVIERO                                    ","
										04186100                                    ","
										SÃO PAULO                                    ","
										SP                                    ","
										(11) 5078-1854                                    ","
										(11) 5078-1854                                    ","ELETRICIDADE E MAGNETISMO","
										William Felipe Nunes Malcato
                                    ","wfmalcato@minipa.com.br"
42,"METRACAL SERVIÇOS EM EQUIPAMENTOS ELETRÔNICOS E COMERCIAL LTDA.","LABORATÓRIO DE METROLOGIA DA METRACAL","
										Ativo                                    ","
										RUA MAJOR FREIRE, 851/861                                    ","
										VILA MONTE ALEGRE                                    ","
										04304111                                    ","
										SÃO PAULO                                    ","
										SP                                    ","
										(11) 5581-1495 / 8031 R:22                                    ","
										(11) 5581-4018                                    ","ELETRICIDADE E MAGNETISMO","
										SILVIO RUEDA JUNIOR
                                    ","silvio@metracal.com.br"
43,"IMI - INSTITUTO DE METROLOGIA INDUSTRIAL LTDA.","IMI - INSTITUTO DE METROLOGIA INDUSTRIAL LTDA.","
										Ativo                                    ","
										RUA LUIZ LEMOS CALDAS, LOTE 13, QUADRA 09                                    ","
										CAMPO GRANDE                                    ","
										23071480                                    ","
										RIO DE JANEIRO                                    ","
										RJ                                    ","
										(21) 3314-8357/8256                                    ","
										(21) 3314-8357                                    ","ELETRICIDADE E MAGNETISMO","
										Edson do Nascimento
                                    ","usitec.lab@uol.com.br"
44,"METROSUL SOLUÇÕES EM METROLOGIA LTDA.","LABORATÓRIO METROSUL","
										Ativo                                    ","
										RUA DA VÁRZEA, 236                                    ","
										JARDIM SÃO PEDRO                                    ","
										91040600                                    ","
										PORTO ALEGRE                                    ","
										RS                                    ","
										(51) 3345-2266                                    ","
										(51) 3345-2266                                    ","ELETRICIDADE E MAGNETISMO","
										CLÁUDIO LUIZ PRIETO HERMAN
                                    ","claudio@metrosul-rs.com.br"
45,"TANACAS EQUIPAMENTOS ELETRÔNICOS EIRELI","QUALITRONIC SERVIÇOS DE CALIBRAÇÃO","
										Ativo                                    ","
										Rua Ferdinando Laboriau, 145                                    ","
										TIJUCA                                    ","
										20530550                                    ","
										RIO DE JANEIRO                                    ","
										RJ                                    ","
										21) 3457-3847 / 3351-9763                                    ","
										(21) 3351-9763                                    ","ELETRICIDADE E MAGNETISMO","
										ARTUR ROMÃO DA SILVA MAIA
                                    ","artur@qualitroniccalibracao.com"
46,"3C Services S.A","LMEE Laboratório de Medidores","
										Ativo                                    ","
										Avenida José Mendonça de Campos, 680                                    ","
										Colubandê                                    ","
										24450700                                    ","
										São Gonçalo                                    ","
										RJ                                    ","
										(21) 2702-8027 / 8028 / 8022                                    ","
										(21) 2702-8060                                    ","ELETRICIDADE E MAGNETISMO","
										EROS FAGUNDES
                                    ","eros.fagundes@3cservices.com.br"
47,"Elster Medição de Energia Ltda.","Laboratório Elster de Calibração","
										Ativo                                    ","
										Rua Marcos Wainstein, 447                                    ","
										Distrito Industrial                                    ","
										94930360                                    ","
										Cachoeirinha                                    ","
										RS                                    ","
										(51)3470-9374/ 3470-9353                                    ","
										(51) 3470-9493                                    ","ELETRICIDADE E MAGNETISMO","
										Marielio Silva
                                    ","marielio.silva@honeywell.com"
48,"Calibracom Controle de Processos Industriais Ltda. - EPP","Calibracom Controle de Processos Industriais Ltda. - EPP","
										Ativo                                    ","
										Rua Odair Dias de Souza, 419                                    ","
										Jardim Morumbi I                                    ","
										18085510                                    ","
										Sorocaba                                    ","
										SP                                    ","
										(15) 3228-4138                                    ","
										(15) 3228-4138                                    ","ELETRICIDADE E MAGNETISMO","
										Gilberto
                                    ","calibracom@calibracom.com.br"
49,"Serviço Nacional de Aprendizagem Industrial - Senai","Centro Tecnológico de Eletroeletrônica César Rodrigues","
										Ativo                                    ","
										Rua Santo Agostinho, 1.717 - Bloco C                                    ","
										Horto                                    ","
										31035480                                    ","
										Belo Horizonte                                    ","
										MG                                    ","
										(31) 3482-5587                                    ","
										(31) 3482-5580                                    ","ELETRICIDADE E MAGNETISMO","
										Silmara Rodrigues Tabelini
                                    ","stabelini@fiemg.com.br"
50,"Instituto Amazonense de Metrologia Ltda.","LABCAL - LABORATÒRIO DE CALIBRAÇÃO","
										Ativo                                    ","
										Avenida Rodrigo Otávio, 1.405 - Sala 1                                    ","
										Crespo                                    ","
										69073000                                    ","
										Manaus                                    ","
										AM                                    ","
										(92) 3237-7690                                    ","
										(92) 3613-1585                                    ","ELETRICIDADE E MAGNETISMO","
										CELSO MORESCO
                                    ","celso@labcal.com.br"
51,"Precisotec Laboratório de Metrologia Ltda.","Precisotec Laboratório de Metrologia Ltda.","
										Ativo                                    ","
										Rua Sarmento Leite, 3.308                                    ","
										Rio Branco                                    ","
										95084000                                    ","
										Caxias do Sul                                    ","
										RS                                    ","
										(54) 3027-4036                                    ","
										(54) 3027-4036                                    ","ELETRICIDADE E MAGNETISMO","
										Nedi Homero Amorim Motta
                                    ","qualidade@precisotec.com.br"
52,"METROTEC COMÉRCIO E ASSESSORIA TÉCNICA LTDA","LABORATÓRIO METROTEC","
										Ativo                                    ","
										AVENIDA DOM PEDRO II, 2042                                    ","
										CAMPESTRE                                    ","
										09080001                                    ","
										SANTO ANDRÉ                                    ","
										SP                                    ","
										(11) 4473-3620                                    ","
										(11) 4473-3620                                    ","ELETRICIDADE E MAGNETISMO","
										Marcio Furlaneto Pardo
                                    ","marcio.pardo@metrotec.com.br"
53,"Calibratec Comércio e Calibrações de Instrumentos de Medição Ltda.","Calibratec Comércio e Calibrações de Instrumentos de Medição Ltda.","
										Ativo                                    ","
										AV. SEVERINO BALLESTEROS RODRIGUES, 2999                                    ","
										DIST. INDUST. DR. HÉ                                    ","
										32110005                                    ","
										CONTAGEM                                    ","
										MG                                    ","
										(31) 3398-9022                                    ","
										(31) 3398-9022                                    ","ELETRICIDADE E MAGNETISMO","
										GLEICIO MATIAS DE ABREU
                                    ","gleicio@calibratec.com.br "
54,"COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA","LABORATÓRIO DE CALIBRAÇÃO E ENSAIOS DE INSTRUMENTOS ELÉTRICOS E MEDIDORES DE ENERGIA","
										Suspensão Total  desde 07/02/2020                                    ","
										AV. EDGARD SANTOS, 300                                    ","
										NARANDIBA                                    ","
										41181900                                    ","
										SALVADOR                                    ","
										BA                                    ","
										(71) 3370-5682                                    ","
										(71) 3370-5697                                    ","ELETRICIDADE E MAGNETISMO","
										EMANUEL BARBOSA DA SILVA
                                    ","ebsilva@coelba.com.br"
55,"Companhia Hidro Elétrica do São Francisco","LABORATÓRIO DE METROLOGIA DA CHESF","
										Ativo                                    ","
										RUA 15 DE MARÇO, 50 - ANEXO II - BL. B - SL. 106                                    ","
										BONGI                                    ","
										50761070                                    ","
										RECIFE                                    ","
										PE                                    ","
										(81) 3229-4172                                    ","
										(81) 3229-4315                                    ","ELETRICIDADE E MAGNETISMO","
										Fernando Antonio Machado de Andrade 
                                    ","fernand@chesf.gov.br"
56,"CELG DISTRIBUIÇÃO S.A.","SETOR DE LABORATÓRIO E MEDIÇÃO","
										Suspensão Total  desde 20/09/2018                                    ","
										RUA 2,QUADRA A-37, S/N, EDIFÍCIO GILENO GODOI                                    ","
										JARDIM GOIÁS                                    ","
										74805180                                    ","
										GOIÂNIA                                    ","
										GO                                    ","
										(62) 3243-2579                                    ","
										(62) 3243-2579                                    ","ELETRICIDADE E MAGNETISMO","
										LUIZ GONZAGA AMORIM JUNIOR
                                    ","luiz.junior3@enel.com"
57,"Elus Serviços de Instrumentação Ltda - ME","ELUS Instrumentação","
										Ativo                                    ","
										Rua Dendezeiro ,29                                    ","
										Jardim Matarazzo                                    ","
										03813130                                    ","
										São Paulo                                    ","
										SP                                    ","
										(11) 2214.9069                                    ","
										(11) 2214.0049                                    ","ELETRICIDADE E MAGNETISMO","
										Rodrigo Gomes Cordeiro
                                    ","rodrigo@elusinstrumentacao.com.br"
58,"INTER-METRO SERVIÇOS ESPECIAIS LTDA.","INTERMETRO","
										Ativo                                    ","
										R. JOAQUIM DE ALMEIDA, 223                                    ","
										MIRANDÓPOLIS                                    ","
										04050010                                    ","
										SÃO PAULO                                    ","
										SP                                    ","
										(11) 5071.2764 RAMAL 36                                    ","
										(11) 5071.2764                                    ","ELETRICIDADE E MAGNETISMO","
										MARCIO CRISTIANO DE OLIVEIRA
                                    ","marcio@intermetro.com.br"
